iter	Passed	Remaining
565	9237	5450
566	9252	5433
567	9268	5417
568	9283	5400
569	9299	5383
570	9314	5366
571	9330	5350
572	9346	5333
573	9362	5317
574	9381	5302
575	9399	5287
576	9415	5270
577	9432	5254
578	9448	5238
579	9463	5221
580	9479	5204
581	9494	5187
582	9511	5171
583	9528	5156
584	9544	5139
585	9558	5121
586	9573	5104
587	9591	5089
588	9606	5072
589	9622	5056
590	9640	5040
591	9656	5023
592	9678	5010
593	9698	4996
594	9716	4980
595	9731	4963
596	9746	4946
597	9764	4931
598	9780	4914
599	9794	4897
600	9809	4880
601	9824	4863
602	9839	4846
603	9854	4829
604	9868	4812
605	9884	4795
606	9901	4779
607	9916	4762
608	9933	4746
609	9950	4730
610	9965	4713
611	9984	4698
612	10001	4682
613	10016	4665
614	10032	4649
615	10047	4632
616	10063	4615
617	10079	4599
618	10095	4582
619	10112	4567
620	10128	4550
621	10144	4533
622	10160	4517
623	10176	4500
624	10191	4484
625	10207	4467
626	10222	4450
627	10238	4434
628	10255	4418
629	10271	4402
630	10288	4386
631	10304	4369
632	10320	4353
633	10337	4337
634	10352	4320
635	10367	4303
636	10383	4287
637	10400	4270
638	10416	4254
639	10431	4237
640	10446	4221
641	10462	4204
642	10479	4188
643	10494	4171
644	10510	4155
645	10528	4139
646	10545	4123
647	10562	4107
648	10579	4091
649	10595	4075
650	10614	4059
651	10631	4044
652	10648	4027
653	10669	4013
654	10692	3999
655	10708	3983
656	10722	3966
657	10739	3949
658	10755	3933
659	10771	3916
660	10785	3899
661	10801	3883
662	10816	3866
663	10833	3850
664	10847	3833
665	10863	3816
666	10878	3800
667	10893	3783
668	10908	3766
669	10923	3749
670	10939	3733
671	10955	3717
672	10972	3700
673	10989	3684
674	11005	3668
675	11020	3651
676	11037	3635
677	11053	3619
678	11070	3603
679	11086	3586
680	11102	3570
681	11117	3553
682	11133	3537
683	11148	3520
684	11162	3503
685	11178	3487
686	11194	3470
687	11211	3454
688	11228	3438
689	11245	3422
690	11262	3406
691	11278	3390
692	11295	3373
693	11312	3357
694	11332	3342
695	11348	3326
696	11363	3309
697	11377	3292
698	11393	3276
699	11407	3259
700	11423	3242
701	11438	3226
702	11454	3209
703	11470	3193
704	11485	3176
705	11501	3160
706	11518	3144
707	11536	3128
708	11555	3112
709	11571	3096
710	11586	3079
711	11602	3063
712	11619	3047
713	11639	3032
714	11658	3016
715	11682	3002
716	11700	2986
717	11720	2970
718	11736	2954
719	11754	2938
720	11771	2922
721	11787	2906
722	11801	2889
723	11817	2872
724	11834	2856
725	11850	2840
726	11867	2823
727	11883	2807
728	11899	2791
729	11915	2774
730	11934	2759
731	11952	2743
732	11968	2726
733	11983	2710
734	11998	2693
735	12013	2676
736	12029	2660
737	12045	2644
738	12061	2627
739	12078	2611
740	12094	2595
741	12111	2579
742	12127	2562
743	12144	2546
744	12161	2530
745	12176	2513
746	12191	2497
747	12207	2480
748	12224	2464
749	12240	2448
750	12255	2431
751	12270	2414
752	12286	2398
753	12303	2382
754	12318	2365
755	12335	2349
756	12352	2333
757	12367	2316
758	12382	2300
759	12398	2283
760	12416	2267
761	12434	2251
762	12451	2235
763	12466	2219
764	12481	2202
765	12497	2186
766	12523	2171
767	12540	2155
768	12556	2139
769	12572	2122
770	12588	2106
771	12604	2089
772	12621	2073
773	12642	2058
774	12663	2042
775	12680	2026
776	12695	2009
777	12712	1993
778	12728	1977
779	12744	1960
780	12759	1944
781	12775	1927
782	12790	1911
783	12806	1894
784	12822	1878
785	12839	1862
786	12855	1845
787	12872	1829
788	12891	1813
789	12910	1797
790	12925	1781
791	12942	1764
792	12958	1748
793	12975	1732
794	12991	1715
795	13008	1699
796	13025	1683
797	13045	1667
798	13063	1651
799	13079	1634
800	13095	1618
801	13111	1602
802	13127	1585
803	13143	1569
804	13161	1553
805	13178	1536
806	13193	1520
807	13210	1504
808	13226	1487
809	13244	1471
810	13260	1455
811	13276	1438
812	13294	1422
813	13310	1406
814	13326	1389
815	13342	1373
816	13358	1357
817	13373	1340
818	13389	1324
819	13405	1307
820	13422	1291
821	13439	1275
822	13456	1259
823	13472	1242
824	13490	1226
825	13505	1209
826	13521	1193
827	13535	1177
828	13551	1160
829	13567	1144
830	13583	1127
831	13601	1111
832	13618	1095
833	13634	1078
834	13650	1062
835	13674	1046
836	13691	1030
837	13709	1014
838	13725	997
839	13741	981
840	13755	965
841	13772	948
842	13790	932
843	13807	916
844	13825	899
845	13842	883
846	13861	867
847	13878	851
848	13896	834
849	13913	818
850	13930	802
851	13946	785
852	13963	769
853	13979	752
854	13994	736
855	14010	720
856	14026	703
857	14042	687
858	14058	671
859	14074	654
860	14090	638
861	14104	621
862	14120	605
863	14136	589
864	14151	572
865	14166	556
866	14181	539
867	14197	523
868	14214	507
869	14231	490
870	14247	474
871	14263	457
872	14278	441
873	14293	425
874	14309	408
875	14325	392
876	14340	376
877	14356	359
878	14371	343
879	14386	326
880	14402	310
881	14419	294
882	14434	277
883	14453	261
884	14471	245
885	14486	228
886	14501	212
887	14516	196
888	14531	179
889	14547	163
890	14565	147
891	14581	130
892	14599	114
893	14615	98
894	14632	81
895	14648	65
896	14667	49
897	14683	32
898	14698	16
899	14713	0
